taxon	host_feature	host_feature_collection	n	coefficient	robust_se_HC3	ci_lower	ci_upper	t_statistic_HC3	p_value	bh_q_value	r_squared	adjusted_r_squared	multiple_testing_family	phase7_evidence_category	contamination_risk_category	RCLR_DIRECTION_SENSITIVE
Azoarcus	MEcyan	WGCNA_Modules	62	-0.0290250339261482	0.0149260454032892	-0.0588815700376336	0.000831502185337101	-1.94458968480373	0.0565162917887614	0.0904260668620182	0.0513896082592574	0.0355794350635784	Azoarcus_WGCNA_Modules	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	MEgreen	WGCNA_Modules	62	0.0115202660977673	0.0185111950605514	-0.0255076370647347	0.0485481692602693	0.622340484235823	0.536076029962647	0.65978588303095	0.0080957083887654	-0.00843602980475522	Azoarcus_WGCNA_Modules	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	MEmagenta	WGCNA_Modules	62	-0.0348387272886099	0.0155165010490827	-0.0658763505423721	-0.00380110403484766	-2.24526954745827	0.0284479131142282	0.0568958262284563	0.074037952064498	0.058605251265573	Azoarcus_WGCNA_Modules	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	MEgreenyellow	WGCNA_Modules	62	-0.0360713872662935	0.0174612850535168	-0.0709991577284132	-0.00114361680417371	-2.06579224585928	0.0431745662311024	0.0767547844108487	0.0793698437382099	0.0640260078005136	Azoarcus_WGCNA_Modules	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	MEblack	WGCNA_Modules	62	-0.0520141110997086	0.0139690726436113	-0.0799564166842832	-0.0240718055151339	-3.72351926478792	0.000435905556086966	0.00348724444869573	0.165033532963062	0.151117425179113	Azoarcus_WGCNA_Modules	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	MEblue	WGCNA_Modules	62	-0.0627582719090036	0.0125275818518896	-0.0878171666024437	-0.0376993772155635	-5.00960781186495	5.10537224134971e-06	8.16859558615953e-05	0.24025464227327	0.227592219644491	Azoarcus_WGCNA_Modules	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	MEmidnightblue	WGCNA_Modules	62	-0.000411201669501018	0.0166160190308387	-0.0336481883474351	0.0328257850084331	-0.0247473037156399	0.980338646696033	0.980338646696033	1.03142955930266e-05	-0.0166561804661469	Azoarcus_WGCNA_Modules	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	MEtan	WGCNA_Modules	62	-0.000536113079396929	0.0154682227139389	-0.0314771652845204	0.0304049391257265	-0.0346589966611886	0.972466705465875	0.980338646696033	1.75324512679281e-05	-0.0166488420078776	Azoarcus_WGCNA_Modules	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	MEbrown	WGCNA_Modules	62	0.0333926111275967	0.0126849460156465	0.00801894124013047	0.0587662810150629	2.6324598533102	0.0107625904363627	0.0246002067116862	0.0680190551530526	0.0524860394056036	Azoarcus_WGCNA_Modules	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	MEyellow	WGCNA_Modules	62	0.0331533605967229	0.0124873724695853	0.0081748966431305	0.0581318245503152	2.6549508855824	0.0101422104806887	0.0246002067116862	0.0670478644502365	0.0514986621910738	Azoarcus_WGCNA_Modules	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	MEpurple	WGCNA_Modules	62	0.0473267194497692	0.0140403463574857	0.0192418452105647	0.0754115936889738	3.37076580910246	0.00131580944790747	0.00627078604260582	0.136628920806507	0.122239402819949	Azoarcus_WGCNA_Modules	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
Azoarcus	MEturquoise	WGCNA_Modules	62	0.0468781013059375	0.0141497702642215	0.018574346664413	0.075181855947462	3.31299381054061	0.00156769651065146	0.00627078604260582	0.134050939305034	0.119618454960118	Azoarcus_WGCNA_Modules	ROBUST_ASSOCIATION	LOW_CURRENT_CONCERN	TRUE
