taxon	prevalence_count	prevalence_fraction	total_abundance	mean_abundance
Nitrosospira	1	0.016129032258064516	10.4674268249557	0.16882946491864032
Myxococcus	1	0.016129032258064516	9.36559242232875	0.151057942295625
Nakaseomyces	1	0.016129032258064516	8.91079044347304	0.14372242650762967
Ustilago	1	0.016129032258064516	8.55299445414978	0.13795152345402872
Leptolyngbya	1	0.016129032258064516	8.2060128400279	0.13235504580690163
Ruminococcus	1	0.016129032258064516	7.95489952760931	0.12830483109047275
Acidithiobacillus	1	0.016129032258064516	7.57620299909397	0.12219682256603177
Orrella	1	0.016129032258064516	7.48696426127935	0.1207574880851508
Novibacillus	1	0.016129032258064516	7.48696426127935	0.1207574880851508
Acetoanaerobium	1	0.016129032258064516	7.11721089518476	0.11479372411588323
Halorubrum	1	0.016129032258064516	6.22755953328666	0.10044450860139774
Methylococcus	1	0.016129032258064516	5.90997627501898	0.0953221979841771
Komagataeibacter	1	0.016129032258064516	5.66993973266425	0.09145064084942339
Finegoldia	1	0.016129032258064516	5.51583844376819	0.08896513618980952
Spirosoma	1	0.016129032258064516	5.15997789900895	0.08322544998401533
Thioalkalivibrio	1	0.016129032258064516	4.80411735424971	0.07748576377822113
Formosa	1	0.016129032258064516	4.50733725722433	0.07269898801974727
Methylocystis	1	0.016129032258064516	4.27032653711085	0.06887623446952984
Chondrocystis	1	0.016129032258064516	4.20821171283482	0.06787438246507774
Macrococcus	1	0.016129032258064516	4.13172581912231	0.06664073901810177
Actinoalloteichus	1	0.016129032258064516	4.09239626473124	0.06600639136663292
Stanieria	1	0.016129032258064516	3.99780112719308	0.06448066334182387
Dermacoccus	1	0.016129032258064516	3.91446599235162	0.0631365482637358
Dyella	1	0.016129032258064516	3.736535719972	0.060266705160838714
Polaribacter	1	0.016129032258064516	3.71478810071106	0.0599159371082429
Pusillimonas	1	0.016129032258064516	3.55860544759238	0.05739686205794162
Yangia	1	0.016129032258064516	3.55860544759238	0.05739686205794162
Aquaspirillum	1	0.016129032258064516	3.32375777432042	0.05360899636000677
Nitrospirillum	1	0.016129032258064516	2.70140329619758	0.04357102090641258
Asticcacaulis	1	0.016129032258064516	2.66895408569428	0.04304764654345613
Hoeflea	1	0.016129032258064516	2.54169712153915	0.040995114863534673
Thiobacillus	1	0.016129032258064516	2.50844591789776	0.04045880512738323
Winogradskyella	1	0.016129032258064516	2.49102381331467	0.04017780344055919
Nitratireductor	1	0.016129032258064516	2.34618195834383	0.03784164448941661
Weissella	1	0.016129032258064516	2.31309354093505	0.037307960337662094
Microvirgula	1	0.016129032258064516	2.31309354093505	0.037307960337662094
Clavibacter	1	0.016129032258064516	2.31309354093505	0.037307960337662094
Rickettsia	1	0.016129032258064516	2.10410585641741	0.03393719123253887
Pseudorhodoplanes	1	0.016129032258064516	1.92957378299827	0.031122157790294678
Lacinutrix	1	0.016129032258064516	1.92957378299827	0.031122157790294678
Rhodoplanes	0	0.0	0.0	0.0
Cylindrospermum	0	0.0	0.0	0.0
Aeromicrobium	0	0.0	0.0	0.0
Herminiimonas	0	0.0	0.0	0.0
Serinicoccus	0	0.0	0.0	0.0
Amycolatopsis	0	0.0	0.0	0.0
Brenneria	0	0.0	0.0	0.0
Blastochloris	0	0.0	0.0	0.0
Planococcus	0	0.0	0.0	0.0
Methylovulum	0	0.0	0.0	0.0
Glutamicibacter	0	0.0	0.0	0.0
Thermus	0	0.0	0.0	0.0
Msw3virus	0	0.0	0.0	0.0
Hyphomicrobium	0	0.0	0.0	0.0
Gemmatirosa	0	0.0	0.0	0.0
Magnaporthe	0	0.0	0.0	0.0
Sextaecvirus	0	0.0	0.0	0.0
Debaryomyces	0	0.0	0.0	0.0
Pelagibacterium	0	0.0	0.0	0.0
Micromonospora	0	0.0	0.0	0.0
Pectobacterium	0	0.0	0.0	0.0
Pseudoalteromonas	0	0.0	0.0	0.0
Saccharopolyspora	0	0.0	0.0	0.0
Sorangium	0	0.0	0.0	0.0
Thermanaerovibrio	0	0.0	0.0	0.0
Phycisphaera	0	0.0	0.0	0.0
Yuavirus	0	0.0	0.0	0.0
Cellulomonas	0	0.0	0.0	0.0
Ruminiclostridium	0	0.0	0.0	0.0
Mardivirus	0	0.0	0.0	0.0
Opitutus	0	0.0	0.0	0.0
Methylacidiphilum	0	0.0	0.0	0.0
Prochlorococcus	0	0.0	0.0	0.0
Raoultella	0	0.0	0.0	0.0
Paenibacillus	0	0.0	0.0	0.0
Agromyces	0	0.0	0.0	0.0
Nitrospira	0	0.0	0.0	0.0
Vogesella	0	0.0	0.0	0.0
T4virus	0	0.0	0.0	0.0
Faecalitalea	0	0.0	0.0	0.0
Thielavia	0	0.0	0.0	0.0
Brochothrix	0	0.0	0.0	0.0
Asaia	0	0.0	0.0	0.0
Kp15virus	0	0.0	0.0	0.0
Gramella	0	0.0	0.0	0.0
Ruegeria	0	0.0	0.0	0.0
Turicibacter	0	0.0	0.0	0.0
Peptoniphilus	0	0.0	0.0	0.0
Nitrosococcus	0	0.0	0.0	0.0
Nonlabens	0	0.0	0.0	0.0
Anaeromyxobacter	0	0.0	0.0	0.0
Phytobacter	0	0.0	0.0	0.0
Steroidobacter	0	0.0	0.0	0.0
Oligotropha	0	0.0	0.0	0.0
Lelliottia	0	0.0	0.0	0.0
Parvibaculum	0	0.0	0.0	0.0
